Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1895/12/31,1.1965738,0.00056604,0.3181481,1.9077E-13,3.6412891,1.205374E-07,0.0011487728,,1.1185473,0.075457,,0.03723614,6.88722361E-11,,,,0.4613644,,,,0.0064354,0.0380127,,0.000325198,,2.8887003,12.1270119,1.3187293,,,,,,,,0.2275832,5.1717,8.1446577,,,2.2591E-07,6.958,3.4933384,,,0.0071754,,,,
1896/01/31,,,,,,,,,,,,,6.83107941E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/02/29,,,,,,,,,,,,,6.83107941E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/03/31,,,,,,,,,,,,,6.77493522E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/04/30,,,,,,,,,,,,,6.71879102E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/05/31,,,,,,,,,,,,,6.71879102E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/06/30,,,,,,,,,,,,,6.55034977E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/07/31,,,,,,,,,,,,,6.55034977E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/08/31,,,,,,,,,,,,,6.55034977E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/09/30,,,,,,,,,,,,,6.66264682E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/10/31,,,,,,,,,,,,,6.71879102E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1896/11/30,,,,,,,,,,,,,6.83107941E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
