Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1898/12/31,,382.007852,,557066.9467334,23715,,101510.638297872,,,10979,807.4884028,,3212955.902,,,,3253578.716,199387.4873,,,,,4502,,13692,,,,6495.4,,4225.354931,782878.3744,,82657,,29723.647,88445.49168,,,,49889,256034,180273.9686,,94390,147065,6966.15,4277,8869897.281,
1899/06/30,,,,,,,,,,,,37716.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899/12/31,,416.5330979,,530115.2642764,25851,,105232.978723404,,,11021,754.850979,,3233024.678,,,,3000195.291,210851.4477,,,,,4752,,14183,,,,6689.4,,4344.440044,814208.0951,,84000,,30194.2781,91169.36265,,,,51093,264224,187017.2322,,98466,155435,7129.45,4175,9487050.486,
1900/06/30,,,,,,,,,,,,39968.67536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/12/31,,428.2282346,,534275.9333653,27333,17126.70877,109590.425531915,,,10890.69764,760.0438551,,3150195.366,18154.53708,,,3105418,218768.5852,,,,,5009,,14894,,,,6997.4,,3906.479708,1653921.48,,86824,,29177.52217,92319.40353,,,,52146,265903,185839.9577,,101811,153723,14166,4371,9357914.269,356.1954
1901/06/30,,,,,,,,,,,,38279.85809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901/12/31,,477.2305211,,580630.3892507,29651,18574.97019,107213.829787234,,,12455.49977,793.4049238,,3229079.126,18378.89024,,,3122992.863,215853.9032,,,,,5375,,14634,,,,7415.7,45061,3771.317976,1606872.696,,88604,,28512.53487,94617.77644,,,,55620,260978,190442.6234,,106093,151249,14579.1,4321,9713791.328,350.2456
1902/06/30,,,,,,,,,,,,39896.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902/12/31,,481.686612,,539230.1770069,32365,18200.48095,109590.425531915,,,12395.31532,833.6061557,,3370120.96,18606.25483,,,3348073.24,211838.9543,,,,,5668,175864,14719,,,,7579.3,46183,4867.197072,1695924.396,,90747,,29959.76567,96071.98864,,,,53945,259529,193118.6423,,108639,148777,14923.2,4232,9547114.335,381.1846
1903/06/30,,,,,,,,,,,,38620.12383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
