Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
GDPSWE,Sweden Nominal GDP,National Account Aggregates,Sweden Krona,Sweden,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1620 To Dec 1979<BR>Quarterly From Mar 1980 To Sep 2020<BR>,"Rodney Edvinsson, Annual Estimates of Swedish GDP in 1720-1800, through 1860 and Statistics Sweden from 1861 on. See Edvinsson, Rodney. 2011. ""New estimates of Swedish GDP by activity 1665-2010"". Department of Economic History, Stockholm University. Stockholm Papers in Economic History No. 12.<br />Notes: Data are disseminated on GDP for the entire Swedish economy at <br />current and constant prices in millions of SEK, by production and <br />expenditure methods. National Accounts are presented according to <br />SNA93/ESA95. Time series according to SNA93/ESA95 start with 1993. The weighting in calculating GDP at constant prices are changed annually, using the price level ofthe preceding year. National Accounts <br />presented in constant prices, including the breakdowns described below, <br />are shown in reference prices for 2000. The main aggregates of GDP are seasonally adjusted. Saving and gross national income, in current prices only, are also published, as well as disposable income of households in current prices.",,Split adjusted.
GDPCHE,Switzerland Nominal GDP,National Account Aggregates,Switzerland Franc,Switzerland,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1851 To Dec 1969<BR>Quarterly From Mar 1970 To Sep 2020<BR>,"Notes: 1851-1913 from Historical Statistics of Switzerland Online, www.fsw.uzh.ch/histstat/main.php, table Q.1a, Q.17a and Q.17b; see Halbeisen et al. (2012), pp. 1173-1177 and 1185-1214.<br /> Pre World War I data are from Flandreau and Zumer (2004: Table 12). Data are disseminated in Swiss francs on GDP at current and constant (1980) prices, together with implicit deflators. Data are disseminated showing a breakdown of current and constant price GDP by major expenditure categories. The data are compiled in accordance withe the methodology set out in ESA 78, with the intention of moving to ESA95 in due course. The data are not seasonally adjusted. However, data are also disseminated on GDP as growth rates, which are presented in unadjusted, seasonally-adjusted, and smoothed (trend-cycle data) formats.",,Split adjusted.
GDPGBR,Great Britain Nominal GDP,National Account Aggregates,United Kingdom Pound,United Kingdom,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1270 To Dec 1954<BR>Quarterly From Mar 1955 To Sep 2020<BR>,"Data from 1268 to 1870 are from England & Great Britain, 1270-1870: Stephen Broadberry, and Bruce Campbell, Alexander Klein, Mark Overton and Bas van Leeuwen, ""British Economic Growth, 1270-1870: An Output -based Approach""; http://www.lse.ac.uk/economicHistory/whosWho/profiles/sbroadberry.aspxData before 1955 is from B. R. Mitchell, International Historical Statistics: Europe 1750-2000, Fourth Edition, Stockton Press, 2003. Notes: Data are disseminated in three main formats: the ""Four Week"" estimate; the ""Eight Week"" estimate; and the ""Twelve Week Estimate"". The last two meet the SDDS requirements and publish current and constant price data in millions of pounds Sterling. (1) The ""Four Week"" estimate publishes only constant price output analysis at basic prices in index number form with a base year of 1995. Data after 1920 excludes Southern Ireland.  The categories for which data are published include: Distribution, Hotels and Catering, Total Services, and Gross Domestic Product. Movements of output components at basic prices are used as an indicator of growth at market prices at this early stage. (2) The ""Eight Week"" estimate publishes a fuller ""output"" analysis, in both current and constant 1995 prices in millions of pounds Sterling. Detailed data are published showing breakdowns by productive activity, by expenditure category and by income. (a) The breakdown by productive activity shows estimates of output for: Agriculture, Hunting Forestry and Fishing; Mining and Quarrying, including oil and gas extraction; Manufacturing; Electricity, gas and water supply; Total Index of Production; Construction; Transport and Communication; Finance and Business Services; and Government and other services, as well as the aggregates published in the Four Week estimates.  (b) The breakdown by expenditure category is published in both current and constant market prices for: Household Final Expenditure; Non-profit Institutions Serving Households (NPISH) Final Expenditure; General Government Final Consumption; Gross Fixed Capital Formation; Change in Inventories; Acquisition less Disposals of Valuables; Total Exports; and Total Imports.""  (c) The ""income analysis"" breakdown shows the following aggregates: Compensation of Employees; Gross Operating Surplus of Corporations; and Other Income. (3) The ""Twelve Week"" estimates publish full quarterly national accounts, including all the breakdowns indicated above, with a further disaggregation of the Income and Expenditure components, and with current, capital and financial accounts for the private nonfinancial corporations sector, household income, expenditure and saving. Estimates for Gross Domestic Product and Gross Value Added are compiled on various bases, for example, at current market prices, at basic prices, at factor cost, at constant 1995 prices and as indices where 1995=100. The data in current and constant prices are disseminated in millions of pounds Sterling. The data are published in both seasonally adjusted and unadjusted formats and are compiled in accordance with the methodology set out in ESA95.",,Split adjusted.
GDPVEN,Venezuela Nominal GDP,National Account Aggregates,Venezuela Bolivar Soberano,Venezuela,,,,,,,National Currency,Millions,Annual,none,Annual From Dec 1920 To Dec 2014<BR>,,,Split adjusted.
GDPWLD,World Nominal GDP,National Account Aggregates,United States Dollar,World,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1000 To Dec 1987<BR>Quarterly From Mar 1988 To Sep 2020<BR>,Source: World Bank data is used from 1950 to date.  Data prior to 1950 are estimates calculated by summing the data for individual countries in the GFDatabase.,,Split adjusted.
GDPBEL,Belgium Nominal GDP,National Account Aggregates,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1835 To Dec 1979<BR>Quarterly From Mar 1980 To Sep 2020<BR>,"Notes: Data from 1835 to 1914 are from Historical National Accounts (http://www.rug.nl/research/ggdc/data/historical-national-accounts)<br /> Data from 1880 to 1913 are from Flandreau and Zumer (2004: Table 12). GDP at constant and current prices, according to ESA95, calculated initially using the production approach. In addition to this production approach, complete estimates of GDP by means of the expenditure approach are also made, including private and public consumption, total gross fixed capital formation, changes in inventories (the last two being merged under the heading ""gross domestic capital formation"" in Belgium's National Summary Data Page), net exports. The data cover the entire Belgian economy and are seasonally adjusted. The calculation of the quarterly figures is based on the Chow-Lin method, i.e. a method of interpolation and extrapolation of certain indicators of the annual national accounts. For the main activity branches, as defined in the annual national accounts published by the ICN (Institute of National Accounts) a quarterly split up of the value added is available. These branches are:  1. Agriculture, hunting, forestry and fishing;  2. Industry;  3. Construction;  4. Trade, transport and communication;  5. Financial, real estate, renting and business activities;  6. Public administration and education;  7. Other services. (In Belgium's National Summary Data Page, item 4 to 7 are summarized under a global heading ""services"").  8. Other components (Taxes less subsidies on products and Financial Intermidiation Services indirectly measured).  The base year of the quarterly GDP figures is 2000. The data are published in billions of Belgian francs, and in percent changes (on an annual basis, compared to the last quarter, and compared to the same quarter of the last year).  Data prior to 1948 are Net National Product.",,Legacy Currency adjusted. Split adjusted.
GDPCZE,Czech Republic Nominal GDP,National Account Aggregates,Czech Republic Koruna,Czech Republic,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1985 To Dec 1990<BR>Quarterly From Mar 1991 To Sep 2020<BR>,"Notes: Data on gross domestic product (GDP) are disseminated at current prices, previous year's average prices, and 1995 constant prices, all as absolute values (CZK million) and as the growth rate from year to year. The data cover the entire economy of the Czech Republic. As to constant prices, they were 1995 constant prices up to March 2004 (the 4th quarter 2003 GDP estimate). In June 2004 (the 1st quarter 2004 GDP estimate) the data at previous year average prices and 2000 constant prices were published. Since September 2004 (the 2nd quarter 2004 GDP estimate) the data at previous year average prices and at the prices of 1995 obtained by chain-linking are published. The annual overlap technique is used for chain-linking.   The data are compiled in accordance with the methodology set out in ESA 1995. Data on GDP are disseminated broken down by expenditure categories as follows: household expenditures; non-profit institution expenditures; government institutions expenditures (individual and collective); gross fixed capital formation; changes in stocks; exports of goods; exports of services; imports of goods; and imports of services. Data on gross value added broken down by NACE categories and data on the encouraged components of saving and gross national income are also published. The data since 1994 have been published both as non-adjusted and seasonally adjusted ones. In addition, the indices derived from seasonally adjusted time series of the GDP expenditure categories are published. The TRAMO/SEATS method (Demetra 2.0) is used for the seasonal adjustments. The seasonally adjusted time series were not published in June 2004. The reason was that the historical revision of the quarterly NA was not completed in June. The seasonally adjusted data on GDP and GDP expenditures (only from the year 1995) were released on September 14, 2004. The completed seasonally adjusted data on GDP resources and expenditures were again released on December 10, 2004 (comprising time-series from the year 1995). For the first time, a correction for a number of working days in individual periods was performed on selected time series for which the influence of different numbers of working days is statistically significant.",,Split adjusted.
GDPDNK,Denmark Nominal GDP,National Account Aggregates,Denmark Krone,Denmark,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1818 To Dec 1976<BR>Quarterly From Mar 1977 To Sep 2020<BR>,"Notes: Annual data are from Abildgren (2008: 40-41) and from Historical National Accounts (http://www.rug.nl/research/ggdc/data/historical-national-accounts). GDP at current and constant prices, together with implicit deflators, by production and expenditure methods, all at annual rates. Breakdowns are as specified in the European System of Accounts, (ESA 1995). Savings and Gross National income are also published.  The data cover the entire economy and both seasonally adjusted and non-seasonally adjusted figures are published.",,Split adjusted.
GDPFRA,France Nominal GDP,National Account Aggregates,France Franc (Euro from 01/01/1999),France,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1810 To Dec 1964<BR>Quarterly From Mar 1965 To Dec 2020<BR>,"Notes: Data from 1815 to 1938 are from Toutain, J.C., ""Le produit interieur brut de la France de 1789 Ã¡ 1982,"" Ã‰conomies et SociÃ©tÃ©, Grenobles, 1987; accessed from Historical National Accounts (http://www.rug.nl/research/ggdc/data/historical-national-accounts)
Data are published on Gross Domestic Product, Private Consumption (Â« dÃ©penses de consommation des mÃ©nages Â»), General Government Consumption (Â« dÃ©penses de consommation des administrations Â»), Gross Fixed Capital Formation (Â« FBCF Â») (total, non financial firms, households, general government), Changes in Stocks (Â« variations de stocks Â»), Exports and Imports of Goods and Services (Â« exportations et importations de biens et services Â»). Both values at constant (1995) prices and current prices (billions of euros) and growth rates are published. French Quarterly National Accounts are based on the European System of Accounts 1995 (ESA 95) and are compiled using both production and expenditure methods. Data are seasonally adjusted and adjusted for working days.",,Legacy Currency adjusted. Split adjusted.
GDPAUT,Austria Nominal GDP,National Account Aggregates,Austria Schilling (Euro from 01/01/1999),Austria,,,,,,,National Currency,Millions,Quarterly,none,Annual From Dec 1870 To Dec 1956<BR>Quarterly From Mar 1957 To Sep 2020<BR>,"Notes: Pre-World War I data are from Jobst and Scheiber (2014: series AH6A_A). Data are for GNP through 1963 and GDP from 1964 on. Data are disseminated in thousands of Euro on GDP at current and chained 2000 Euro covering the total economy, together with implicit deflators, by kind of activity, expenditure and income. Breakdowns are as specified in European System of National Accounts 1995 (ESA 95). Data are published at current and chained 2000 Euro. With TRAMO-SEATS seasonally and working day adjusted series are available as well. The quarterly results are summing up to the annual results. Figures are based on primary data of the same reference period (e.g. production index, construction reporting, foreign trade statistics, monthly sales, bank records and other quarterly and monthly statistics) and are compiled using econometric techniques.",,Legacy Currency adjusted. Split adjusted.
