Date,Open,High,Low,Close,Adj Close,Volume
1995-09-01,11.15,13.95,10.19,12.74,12.74,0
1995-10-01,12.4,16.99,12.29,13.83,13.83,0
1995-11-01,13.98,14.1,10.57,11.58,11.58,0
1995-12-01,11.12,15.42,10.06,12.52,12.52,0
1996-01-01,13.39,16.870001,11.23,12.53,12.53,0
1996-02-01,11.44,17.389999,11.11,17.040001,17.040001,0
1996-03-01,17.129999,21.360001,14.98,18.879999,18.879999,0
1996-04-01,18.42,21.09,13.99,15.83,15.83,0
1996-05-01,15.89,18.959999,14.56,16.07,16.07,0
1996-06-01,16.799999,18.879999,13.55,13.68,13.68,0
1996-07-01,13.83,27.049999,13.75,19.459999,19.459999,0
1996-08-01,19.389999,19.389999,13.22,17.01,17.01,0
1996-09-01,19.780001,20.530001,14.55,16.950001,16.950001,0
1996-10-01,16.9,19.209999,14.63,18.110001,18.110001,0
1996-11-01,17.290001,18.610001,13.45,17.139999,17.139999,0
1996-12-01,18.66,22.129999,16.83,20.92,20.92,0
1997-01-01,21.540001,22.799999,16.360001,19.469999,19.469999,0
1997-02-01,19.889999,21.549999,18.709999,21.1,21.1,0
1997-03-01,21.889999,22.440001,17.299999,22.139999,22.139999,0
1997-04-01,22.85,23.040001,17.57,20.059999,20.059999,0
1997-05-01,20.18,22.26,17.280001,19.190001,19.190001,0
1997-06-01,21.08,22.280001,18.200001,21.530001,21.530001,0
1997-07-01,21.540001,23.709999,17.82,21.48,21.48,0
1997-08-01,21.290001,26.309999,19.33,24.76,24.76,0
1997-09-01,25.85,27.33,21.43,22.91,22.91,0
1997-10-01,22.950001,48.639999,19.280001,35.09,35.09,0
1997-11-01,32.18,38.459999,26.42,27.43,27.43,0
1997-12-01,27.860001,33.080002,20.41,24.01,24.01,0
1998-01-01,24.34,31.08,20.549999,21.469999,21.469999,0
1998-02-01,21.32,21.9,18.389999,18.549999,18.549999,0
1998-03-01,18.969999,24.92,17.58,24.219999,24.219999,0
1998-04-01,24.85,27.469999,19.25,21.18,21.18,0
1998-05-01,20.719999,25.1,18.6,21.32,21.32,0
1998-06-01,22.709999,26.49,18.93,19.709999,19.709999,0
1998-07-01,18.99,26.68,16.1,24.799999,24.799999,0
1998-08-01,26.15,45.02,25.35,44.279999,44.279999,0
